part.str,Type,k
YZ 4,RIP,0.004074051
AAKO 1,STR,0.155891467
AAKO 2,STR,0.038893098
AAKO 3,STR,0.084826171
AAKO 4,STR,0.084291446
AAUS 1,STR,0.051040001
AAUS 2,STR,0.005258854
AAUS 3,STR,0.012793415
AAUS 4,STR,0.030537192
AB 1,STR,0.009515589
AB 2,STR,0.004792487
AB 3,STR,0.002030021
AB 4,STR,0.001612509
ACE 1,STR,0.044749617
ACE 2,STR,0.090314026
ACE 3,STR,0.090594063
ACE 4,STR,0.109042549
AD 1,STR,0.029536562
AD 2,STR,0.0035165
AD 3,STR,0.030112676
AD 4,STR,0.016360422
AF 1,STR,0.062298606
AF 2,STR,0.016572547
AF 3,STR,0.071309484
AF 4,STR,0.028801801
AFB 1,STR,0.009359365
AFB 2,STR,0.008312349
AFB 3,STR,0.009821636
AFB 4,STR,0.007303656
AG 1,STR,0.024854597
AG 2,STR,0.022062822
AG 3,STR,0.01168762
AK 1,STR,0.023501052
AK 2,STR,0.036863863
AK 3,STR,0.060756228
AK 4,STR,0.041894881
AL 1,STR,0.080502858
AL 2,STR,0.12517232
AL 3,STR,0.123557714
AM 1,STR,0.002489176
AM 2,STR,0.008898666
AM 3,STR,0.016976431
AM 4,STR,0.002074345
AMYM 1,STR,0.029269424
AMYM 2,STR,0.10601708
AMYM 3,STR,0.017765435
AMYM 4,STR,0.00391468
ANCA 1,STR,0.009187923
ANCA 2,STR,0.018509675
ANCA 3,STR,0.028317299
ANCA 5,STR,0.003085044
ANCA 6,STR,0.002580114
AP 1,STR,0.047915591
AP 2,STR,0.004979171
AR 1,STR,0.003886171
AR 2,STR,0.0047652
AR 3,STR,0.004057503
AR 4,STR,0.024414944
AREL 1,STR,0.012280928
AREL 2,STR,0.002345978
AREL 3,STR,0.002464643
AREL 4,STR,0.004546947
AS 1,STR,0.02043005
AS 2,STR,0.016998967
AS 3,STR,0.040228801
AS 4,STR,0.020109672
ASMO 1,STR,0.092035306
ASMO 2,STR,0.072704201
ASMO 3,STR,0.068919603
ASMO 4,STR,0.065994892
AV 1,STR,0.011882175
AV 2,STR,0.022452668
AV 3,STR,0.037593861
AV 4,STR,0.038768281
AY 1,STR,0.024157013
AY 2,STR,0.012512064
AY 3,STR,0.009783205
AY 4,STR,0.026164888
BB 1,STR,0.003088982
BB 2,STR,0.005864299
BB 3,STR,0.002428477
BB 4,STR,0.002579836
BM 1,STR,0.002231276
BM 2,STR,0.003834794
BM 3,STR,0.00332595
BM 4,STR,0.002908196
BR 1,STR,0.003112718
BR 2,STR,0.00347068
BR 3,STR,0.001252897
BR 4,STR,0.001333446
CATP 1,STR,0.047015378
CATP 2,STR,0.027686677
CATP 3,STR,0.027586431
CATP 4,STR,0.04849731
CATY 1,STR,0.119584936
CATY 2,STR,0.08149376
CATY 3,STR,0.060816238
CATY 4,STR,0.018241968
CC 1,STR,0.009206086
CC 2,STR,0.005195183
CC 3,STR,0.002808762
CC 4,STR,0.002201339
CCG 1,STR,0.011224636
